cell_type,marker,importance
club cell,CMAHP,53.43815131
club cell,SOX4,53.24061098
club cell,RPL37A,52.79402966
club cell,MS4A15,52.25303944
club cell,RPL29,52.22624597
club cell,LRRC75A-AS1,51.31432939
club cell,RPL23,51.294414
club cell,CRACR2B,51.09480732
club cell,RPS13,50.72611752
club cell,PTP4A1,50.66864071
club cell,MRPS25,49.71691369
club cell,RPS20,49.69642064
club cell,FAM46A,49.41305283
club cell,PIGR,49.13759946
club cell,RPL30,48.93570989
club cell,RPS5,48.86757489
club cell,CXCL17,48.27674163
club cell,RPL17,47.95570014
club cell,RPL14,47.60984997
club cell,RPS11,47.14839092
club cell,RPS15,45.98732397
club cell,CD74,45.80235838
club cell,FAU,45.62160137
club cell,HLA-DRB5,45.58831519
club cell,JUND,45.19526592
club cell,RPL38,43.60945858
club cell,CEACAM6,43.07667201
club cell,HLA-DRB1,42.20172298
club cell,RPL36,42.08084468
club cell,RPL18,41.99540711
club cell,ZFAS1,41.71256374
club cell,RPL18A,41.63508703
club cell,RPS17,41.40695327
club cell,FAM129A,41.21023331
club cell,RPS7,40.98427977
club cell,HSD17B13,40.87139914
club cell,SLC22A31,40.22867951
club cell,CIT,39.97774809
club cell,GPRC5A,38.46876566
club cell,SSR4,38.40618321
club cell,RPS9,38.17446069
club cell,RPS16,38.05248833
club cell,ERP27,37.40719667
club cell,SLC22A3,37.34080272
club cell,RPL27,37.1144848
club cell,DAPK1,37.04697394
club cell,RPL7,36.51291532
club cell,RPL19,35.88165875
club cell,AREG,35.44643676
club cell,SDPR,35.34591604
club cell,ADIRF,34.49453257
club cell,RPL15,34.38246456
club cell,LTA4H,33.37362101
club cell,HSD17B6,32.54246917
club cell,XAGE2,32.38392123
club cell,HLA-DRB6,31.34984212
club cell,SERP1,31.31581128
club cell,SNHG6,31.30883905
club cell,WSB1,31.2890587
club cell,HNMT,30.75639513
club cell,FOSB,30.73693515
club cell,GAS5,30.64749852
club cell,BCAM,30.34615815
club cell,FAM46C,29.28538101
club cell,AARD,29.18200267
club cell,RPL41,28.98138495
club cell,HLA-DPB1,28.68607138
club cell,TMSB4X,28.22635761
club cell,RNF145,28.19817443
club cell,ATL2,28.02078291
club cell,GLTSCR2,27.4484982
club cell,TM4SF1,27.41116479
club cell,ATP1B1,27.17673747
club cell,ZFP36L1,27.13268232
club cell,PTGS2,27.12035783
club cell,CRTAC1,26.77854308
club cell,TIMP1,26.65903344
club cell,MUC1,26.59697498
club cell,RPL36A,26.56707921
club cell,C8orf4,26.33394611
club cell,VAMP5,25.82088373
club cell,FXYD5,25.46829105
club cell,LINC01578,24.59781449
club cell,RGS16,24.43568829
club cell,SOCS2,24.08456476
club cell,BST2,23.44369064
club cell,FAM20A,23.39167937
club cell,RPL13AP5,23.36208068
club cell,HLA-DRA,23.24483856
club cell,SEL1L3,22.87976642
club cell,FCGR2A,22.82412189
club cell,MGST1,22.73388576
club cell,SFTA3,22.62362083
club cell,PON3,21.8438152
club cell,XIST,21.62856009
club cell,FBP1,21.48917512
club cell,MALL,21.33742463
club cell,WWTR1,20.98931086
club cell,PAEP,20.94284581
club cell,RPS10,20.89033204
club cell,SECISBP2L,20.61107254
club cell,CEBPD,20.09948888
club cell,C6orf48,20.07944319
club cell,COMMD6,19.68911218
club cell,FNIP2,19.30177973
club cell,FLRT3,19.13842901
club cell,PEG10,19.09853146
club cell,C19orf33,18.66208693
club cell,SNHG5,18.4255304
club cell,NEDD4L,18.31015822
club cell,FMO2,18.1935441
club cell,SELK,17.93084448
club cell,GLS,17.61483917
club cell,EGR1,17.50460344
club cell,AHR,17.37243704
club cell,IL6ST,17.22791588
club cell,MBIP,17.03849561
club cell,TOP1,17.02896236
club cell,IFT57,16.99756405
club cell,RBPMS,16.32789585
club cell,HLA-DPA1,16.05559213
club cell,FAM129B,16.05233234
club cell,LGALS3BP,15.72815542
club cell,CLIC6,15.69891885
club cell,NGFRAP1,15.49906559
club cell,NKX2-1,15.35777386
club cell,KLHL24,15.18361181
club cell,H19,14.04223332
club cell,NR4A1,13.95252184
club cell,MYC,13.51671767
club cell,PELI1,12.9707199
club cell,SGMS2,11.25579149
club cell,MSLN,6.944440941
club cell,MMP7,3.286067093
ciliated cell,TMEM190,Inf
ciliated cell,CAPS,Inf
ciliated cell,C9orf24,Inf
ciliated cell,C20orf85,Inf
ciliated cell,TPPP3,Inf
ciliated cell,FAM183A,Inf
ciliated cell,C1orf194,Inf
ciliated cell,RSPH1,Inf
ciliated cell,SNTN,Inf
ciliated cell,CETN2,Inf
ciliated cell,C11orf88,Inf
ciliated cell,PIFO,Inf
ciliated cell,ODF3B,Inf
ciliated cell,C9orf116,Inf
ciliated cell,C5orf49,Inf
ciliated cell,C2orf40,Inf
ciliated cell,LRRIQ1,Inf
ciliated cell,DYNLRB2,Inf
ciliated cell,ZMYND10,Inf
ciliated cell,CAPSL,Inf
ciliated cell,MORN2,Inf
ciliated cell,C12orf75,Inf
ciliated cell,MS4A8,Inf
ciliated cell,CCDC78,Inf
ciliated cell,CFAP126,Inf
ciliated cell,DYNLL1,Inf
ciliated cell,FAM92B,Inf
ciliated cell,CCDC146,Inf
ciliated cell,CCDC170,Inf
ciliated cell,PSENEN,Inf
ciliated cell,TUBA1A,Inf
ciliated cell,TSPAN1,Inf
ciliated cell,MORN5,Inf
ciliated cell,ROPN1L,Inf
ciliated cell,TUBB4B,Inf
ciliated cell,C9orf135,Inf
ciliated cell,FABP6,Inf
ciliated cell,WDR54,Inf
ciliated cell,FAM229B,Inf
ciliated cell,DNAH5,Inf
ciliated cell,CDHR3,Inf
ciliated cell,TSPAN19,Inf
ciliated cell,EFHC1,Inf
ciliated cell,FOXJ1,Inf
ciliated cell,LRRC23,Inf
ciliated cell,RSPH9,Inf
ciliated cell,HSP90AA1,Inf
ciliated cell,ERICH3,Inf
ciliated cell,TCTEX1D2,Inf
ciliated cell,TEKT1,Inf
ciliated cell,MRPS31,Inf
ciliated cell,CIB1,Inf
ciliated cell,FAM216B,Inf
ciliated cell,CALM1,Inf
ciliated cell,WDR38,Inf
ciliated cell,EFCAB1,Inf
ciliated cell,CFAP53,Inf
ciliated cell,IK,Inf
ciliated cell,SPAG6,Inf
ciliated cell,LRRC46,Inf
ciliated cell,DNALI1,Inf
ciliated cell,DNAH12,Inf
ciliated cell,CCDC17,Inf
ciliated cell,SMIM22,Inf
ciliated cell,SLC44A4,Inf
ciliated cell,FAM81B,Inf
ciliated cell,CFAP43,Inf
ciliated cell,PRDX5,Inf
ciliated cell,C11orf97,Inf
ciliated cell,CCDC42B,Inf
ciliated cell,KIF9,Inf
ciliated cell,LDLRAD1,Inf
ciliated cell,SPA17,Inf
ciliated cell,CCDC173,Inf
ciliated cell,UFC1,Inf
ciliated cell,WDR86-AS1,Inf
ciliated cell,TUBA4B,Inf
ciliated cell,SPAG17,Inf
ciliated cell,IFT27,Inf
ciliated cell,SPATA18,Inf
ciliated cell,NME5,Inf
ciliated cell,DPCD,Inf
ciliated cell,CD164L2,Inf
ciliated cell,C21orf59,Inf
ciliated cell,ATPIF1,Inf
ciliated cell,CEP126,Inf
ciliated cell,DYNC2H1,Inf
ciliated cell,POLR2I,Inf
ciliated cell,C11orf70,Inf
ciliated cell,CCDC153,Inf
ciliated cell,TEKT2,Inf
ciliated cell,CATSPERD,Inf
ciliated cell,MLF1,Inf
ciliated cell,PPIL6,Inf
ciliated cell,FAM166B,Inf
ciliated cell,C6orf118,Inf
ciliated cell,CCDC74A,Inf
ciliated cell,NUDC,Inf
ciliated cell,STK33,Inf
ciliated cell,MNS1,Inf
ciliated cell,IQCG,Inf
ciliated cell,CCDC181,Inf
ciliated cell,OSCP1,Inf
ciliated cell,RSPH4A,Inf
ciliated cell,PRR29,Inf
ciliated cell,SPEF1,Inf
ciliated cell,FAM174A,Inf
ciliated cell,ARMC3,Inf
ciliated cell,DYDC2,Inf
ciliated cell,CCDC39,Inf
ciliated cell,DYNLT1,Inf
ciliated cell,WDR78,Inf
ciliated cell,CTXN1,Inf
ciliated cell,SAXO2,Inf
ciliated cell,SRI,Inf
ciliated cell,MAPK15,Inf
ciliated cell,CCDC113,Inf
ciliated cell,CFAP52,Inf
ciliated cell,HSBP1,Inf
ciliated cell,TMEM231,Inf
ciliated cell,DNAAF1,Inf
ciliated cell,RIIAD1,Inf
ciliated cell,FAM227A,Inf
ciliated cell,PACRG,Inf
ciliated cell,CFAP45,Inf
ciliated cell,ENKUR,Inf
ciliated cell,DNAH7,Inf
ciliated cell,LRRC48,Inf
ciliated cell,CD59,Inf
ciliated cell,UBXN10,Inf
ciliated cell,DAW1,Inf
ciliated cell,C10orf107,Inf
ciliated cell,DRC1,Inf
ciliated cell,GPR162,Inf
ciliated cell,DNAI2,Inf
ciliated cell,DCDC2B,Inf
ciliated cell,HYDIN,Inf
ciliated cell,UBXN11,Inf
ciliated cell,EFCAB10,Inf
ciliated cell,CCDC176,Inf
ciliated cell,ZBBX,Inf
ciliated cell,DNAH6,Inf
ciliated cell,ANKRD66,Inf
ciliated cell,CTSS,Inf
ciliated cell,SPEF2,Inf
ciliated cell,CDS1,Inf
ciliated cell,TAX1BP1,Inf
ciliated cell,DNAAF3,Inf
ciliated cell,SPAG8,Inf
ciliated cell,MAATS1,307.6252229
ciliated cell,FAM65B,306.2795912
ciliated cell,B9D1,306.2729894
ciliated cell,AKAP14,306.2634348
ciliated cell,STMND1,306.0754387
ciliated cell,CCDC65,305.9817534
ciliated cell,SPAG16,305.080083
ciliated cell,STOML3,305.0558036
ciliated cell,DNPH1,304.8405128
ciliated cell,RGS22,304.1121183
ciliated cell,DZIP3,303.7813329
ciliated cell,VWA3B,302.9362644
ciliated cell,IFT22,302.5561303
ciliated cell,C14orf142,302.463348
ciliated cell,TMC5,302.052734
ciliated cell,C6orf165,301.2847446
ciliated cell,C6,298.2535671
ciliated cell,C22orf15,298.2446096
ciliated cell,TNFAIP8L1,297.754232
ciliated cell,VSTM2L,297.4812946
ciliated cell,SSBP4,294.8966892
ciliated cell,CES1,294.7387224
ciliated cell,DNAH11,294.7348855
ciliated cell,CCDC74B,294.0364529
ciliated cell,TTC25,292.3919281
ciliated cell,C21orf58,290.8769622
ciliated cell,KCTD12,289.2654059
ciliated cell,HSPB11,288.766441
ciliated cell,SCGB2A1,288.2467381
ciliated cell,MAP1B,287.4299801
ciliated cell,LRTOMT,287.1225584
ciliated cell,NQO1,286.1094701
ciliated cell,C9orf171,285.2409577
ciliated cell,DTHD1,284.7510193
ciliated cell,C9orf117,284.5234998
ciliated cell,FANK1,283.0738376
ciliated cell,IGFBP7,282.6136013
ciliated cell,WRB,281.6256581
ciliated cell,LRRC10B,280.6347165
ciliated cell,TCTEX1D1,280.4068194
ciliated cell,P4HTM,280.0960662
ciliated cell,LRRC6,278.5308823
ciliated cell,COPRS,278.2714476
ciliated cell,FHAD1,274.9659604
ciliated cell,RUVBL2,274.840625
ciliated cell,CCDC114,272.8481864
ciliated cell,DNAI1,272.6300261
ciliated cell,RABL2B,270.8534474
ciliated cell,LOC100506844,270.765149
ciliated cell,C7orf57,270.1521923
ciliated cell,TTC29,265.8389868
ciliated cell,PIH1D2,265.4771388
ciliated cell,CFAP221,265.4011556
ciliated cell,C11orf16,265.232479
ciliated cell,ARMC4,264.8716135
ciliated cell,C4orf22,264.0598251
ciliated cell,TCTEX1D4,263.1644757
ciliated cell,RFX3,261.6296204
ciliated cell,WDR63,260.8626698
ciliated cell,CALML4,260.2508002
ciliated cell,C16orf93,260.0685575
ciliated cell,RUVBL1,259.6948826
ciliated cell,AKAP9,258.1744427
ciliated cell,WDR66,257.7677695
ciliated cell,CFAP57,256.7197473
ciliated cell,CRIP1,256.5418026
ciliated cell,C10orf95,254.8911939
ciliated cell,CENPM,254.6384833
ciliated cell,PIH1D3,254.4599516
ciliated cell,LRRC71,254.2985357
ciliated cell,CATIP,253.3183804
ciliated cell,DNAH9,252.2769703
ciliated cell,CCDC108,250.3450815
ciliated cell,C17orf97,250.3332172
ciliated cell,SPATA17,250.1027229
ciliated cell,TMEM107,249.7346813
ciliated cell,DNAJB13,249.2783882
ciliated cell,SLC22A4,248.8111717
ciliated cell,SARAF,247.8680028
ciliated cell,DNAL1,247.3041876
ciliated cell,AK7,246.4883059
ciliated cell,IGFBP5,243.9755339
ciliated cell,CH17-340M24.3,243.6922921
ciliated cell,CLUAP1,243.5709146
ciliated cell,DNAH2,242.5733634
ciliated cell,TRAF3IP1,242.3806064
ciliated cell,CSPP1,241.920946
ciliated cell,LRRC34,241.7865599
ciliated cell,ENDOG,241.4593341
ciliated cell,LKAAEAR1,241.0766849
ciliated cell,IQCD,240.4399359
ciliated cell,CFAP46,240.2626278
ciliated cell,TCTN1,240.2521698
ciliated cell,IFT43,239.9248572
ciliated cell,NEK11,239.856523
ciliated cell,HMGN3,239.6651184
ciliated cell,CCDC37,239.1763354
ciliated cell,GPX4,238.3039811
ciliated cell,ODF2L,237.7409635
ciliated cell,ARHGAP18,237.3518838
ciliated cell,MAP1A,236.9785328
ciliated cell,EFHB,236.9605139
ciliated cell,KIF21A,236.8818853
ciliated cell,CDHR4,236.7156992
ciliated cell,CFAP70,236.1830996
ciliated cell,DNAJA4,235.7812797
ciliated cell,METRN,235.1072201
ciliated cell,MDH1B,233.9572858
ciliated cell,HIPK1,233.6657216
ciliated cell,C1orf158,233.0432578
ciliated cell,C11orf74,232.9131205
ciliated cell,AK9,232.5104546
ciliated cell,CASC1,232.3439938
ciliated cell,CC2D2A,232.2606645
ciliated cell,RAB36,231.9385475
ciliated cell,PCM1,230.7688132
ciliated cell,HSPH1,230.6250414
ciliated cell,ALDH3B1,229.4433037
ciliated cell,RIBC1,227.9494911
ciliated cell,C1orf189,227.8069445
ciliated cell,IFT57,227.3525347
ciliated cell,LXN,226.674214
ciliated cell,CYSTM1,224.3643609
ciliated cell,DENND6B,223.7045986
ciliated cell,SPATA33,223.6704622
ciliated cell,GSTA1,223.0419246
ciliated cell,C1orf87,222.8251212
ciliated cell,FBXO15,222.2032921
ciliated cell,NPHP1,219.957831
ciliated cell,HAGHL,219.861831
ciliated cell,CFAP44,219.838988
ciliated cell,LOC388780,219.5000071
ciliated cell,H2AFJ,216.2546069
ciliated cell,DNAH10,213.7508486
ciliated cell,GRIN3B,213.2146477
ciliated cell,STOX1,212.120591
ciliated cell,IFT88,211.755658
ciliated cell,TMEM232,211.5731378
ciliated cell,CFAP54,211.5221799
ciliated cell,SPAG1,210.7217594
ciliated cell,NELL2,210.2646444
ciliated cell,CLDN3,210.1037085
ciliated cell,FAM179A,209.0991489
ciliated cell,MAP9,208.9235073
ciliated cell,SOD1,208.6299327
ciliated cell,ADGB,207.9015352
ciliated cell,KCNRG,207.7381004
ciliated cell,MAP3K19,207.5318747
ciliated cell,DPY30,207.3880168
ciliated cell,METTL7A,204.8367556
ciliated cell,CCDC96,204.5708861
ciliated cell,GCC2,204.3534353
ciliated cell,DEGS2,204.2516168
ciliated cell,HSPBP1,204.0219041
ciliated cell,LOC728392,203.7202779
ciliated cell,C2orf73,203.2891929
ciliated cell,PPP1R42,202.6898223
ciliated cell,DLEC1,202.4823432
ciliated cell,LOC101927416,201.1624988
ciliated cell,DALRD3,200.6495654
ciliated cell,RPA3,200.4163994
ciliated cell,PDLIM4,200.2881147
ciliated cell,TMEM67,199.501979
ciliated cell,NHLRC4,198.8203848
ciliated cell,LRWD1,198.7593682
ciliated cell,IFT172,198.2689013
ciliated cell,CNTRL,196.8661643
ciliated cell,LRRC73,195.3439639
ciliated cell,FTO,194.7997488
ciliated cell,TUSC3,194.4316163
ciliated cell,FTO-IT1,194.2321733
ciliated cell,C9orf9,194.1129012
ciliated cell,FSD1L,193.6799573
ciliated cell,PTGES3,193.2889029
ciliated cell,RABL2A,193.2343394
ciliated cell,KLHDC9,193.021429
ciliated cell,TSTD1,192.7327648
ciliated cell,C4orf47,191.6076593
ciliated cell,PCSK1N,191.5446709
ciliated cell,ECT2L,191.3551714
ciliated cell,S100A11,190.9835048
ciliated cell,KIAA1407,190.7108753
ciliated cell,PLAC8,190.1195006
ciliated cell,EZR,189.2838001
ciliated cell,RP1,188.5316864
ciliated cell,ERGIC3,188.4915691
ciliated cell,TSGA10,188.238151
ciliated cell,SPATA6,188.1193375
ciliated cell,LOC102724094,187.6299978
ciliated cell,CFAP69,186.95938
ciliated cell,CFAP36,186.0456692
ciliated cell,KIF19,185.7952567
ciliated cell,CCDC151,185.6811078
ciliated cell,TNFRSF19,184.6446645
ciliated cell,ACYP1,184.4056219
ciliated cell,PGM2L1,184.3294187
ciliated cell,MOK,184.2132461
ciliated cell,PKIG,184.1028609
ciliated cell,AGR3,184.0087427
ciliated cell,PPP1R32,183.4704311
ciliated cell,PFN2,181.9248098
ciliated cell,OSBPL6,181.621494
ciliated cell,MAPRE3,181.1744107
ciliated cell,CCDC103,181.0785954
ciliated cell,ZDHHC1,181.0228775
ciliated cell,CRNDE,180.861313
ciliated cell,C20orf96,180.5599629
ciliated cell,SQLE,180.4052743
ciliated cell,B9D2,179.7423913
ciliated cell,C4orf48,179.4982893
ciliated cell,FGF14,179.4145109
ciliated cell,ARL3,178.6177739
ciliated cell,C2orf81,177.9012025
ciliated cell,WDR93,177.7778595
ciliated cell,MARCH10,177.054618
ciliated cell,LZTFL1,176.7937796
ciliated cell,UNC119B,176.5965213
ciliated cell,CLMN,176.2856014
ciliated cell,IQCK,176.1329538
ciliated cell,MUC15,176.0370388
ciliated cell,NUCB2,175.9857854
ciliated cell,CCP110,175.6236886
ciliated cell,IFT46,175.4490005
ciliated cell,KIF3A,175.1392862
ciliated cell,AZIN1,174.7634254
ciliated cell,IFT81,174.3697872
ciliated cell,LOC100506990,174.1095709
ciliated cell,LCA5,173.3344993
ciliated cell,ANKUB1,173.2950562
ciliated cell,CLIC6,173.1472079
ciliated cell,FUZ,172.0588512
ciliated cell,GSTA3,172.0367471
ciliated cell,WDR60,171.5262943
ciliated cell,DMKN,171.1638417
ciliated cell,TEKT4,170.8256088
ciliated cell,KTN1,170.6271937
ciliated cell,VWA3A,169.8854067
ciliated cell,KCNE1,169.6858738
ciliated cell,IQCA1,169.4903045
ciliated cell,CHST9,169.3098739
ciliated cell,TBCA,168.9152259
ciliated cell,TTC26,168.8494841
ciliated cell,COQ4,168.5835915
ciliated cell,TTLL10,168.4522577
ciliated cell,IQUB,168.347339
ciliated cell,DCDC5,168.051677
ciliated cell,EFHC2,167.7076147
ciliated cell,CFAP74,167.6643796
ciliated cell,ANKMY1,167.6506656
ciliated cell,CCDC40,167.3995366
ciliated cell,DZIP1L,166.8531001
ciliated cell,PTPRN2,165.8606999
ciliated cell,SPATA4,165.7658078
ciliated cell,TMEM212,165.0283313
ciliated cell,PROM1,164.8429336
ciliated cell,SLFN13,163.5958896
ciliated cell,CALM2,163.4033007
ciliated cell,WDR34,163.0686872
ciliated cell,PTPRT,163.0276047
ciliated cell,PZP,162.9693451
ciliated cell,OR7E47P,162.8604234
ciliated cell,ATP2A2,162.349534
ciliated cell,CAPS2,162.1742328
ciliated cell,IGFBP2,162.1157618
ciliated cell,NGRN,161.7440369
ciliated cell,MORN3,161.6817802
ciliated cell,IFI6,161.3478337
ciliated cell,ORAI2,160.3273037
ciliated cell,CST6,159.4872569
ciliated cell,UBAC1,159.3374156
ciliated cell,ERICH6-AS1,159.1514565
ciliated cell,ELK3,159.0414262
ciliated cell,C15orf65,158.6379134
ciliated cell,OCEL1,158.3953183
ciliated cell,LOC100288798,157.8833012
ciliated cell,MPC2,157.5156771
ciliated cell,RPGRIP1L,157.3191333
ciliated cell,AK8,157.2581933
ciliated cell,MAP6,157.2445534
ciliated cell,EFCAB2,157.2436166
ciliated cell,PITPNM1,156.7725507
ciliated cell,TMEM173,156.6717983
ciliated cell,CKB,156.5443256
ciliated cell,TBC1D8,156.0777091
ciliated cell,BAIAP3,154.9852078
ciliated cell,GAS8,154.7866667
ciliated cell,FTH1,154.5195452
ciliated cell,GSTA2,154.3706635
ciliated cell,SMPD2,153.9298968
ciliated cell,DYNC2LI1,153.637312
ciliated cell,SSB,153.4124491
ciliated cell,RIBC2,153.2566102
ciliated cell,TMEM45B,153.1282648
ciliated cell,DNAH3,153.0851514
ciliated cell,FAM104B,152.8699435
ciliated cell,NWD1,151.6460596
ciliated cell,DUSP18,151.3344802
ciliated cell,TSNAXIP1,150.8809271
ciliated cell,IQCE,150.8014212
ciliated cell,RPGR,150.6574707
ciliated cell,RBKS,150.5404556
ciliated cell,KNDC1,150.426333
ciliated cell,VNN3,149.5922976
ciliated cell,CEP290,148.9659089
ciliated cell,CWH43,148.7377039
ciliated cell,UCP2,148.7042078
ciliated cell,FDXR,148.3257242
ciliated cell,RSPH14,147.186787
ciliated cell,WDR49,147.1167214
ciliated cell,SHROOM3,147.0301734
ciliated cell,GIPR,146.5049676
ciliated cell,NEK10,146.1302479
ciliated cell,ENKD1,146.0930755
ciliated cell,CD24,145.9224397
ciliated cell,NME7,145.4884949
ciliated cell,C22orf23,145.3599446
ciliated cell,CFAP58,145.3024711
ciliated cell,MORN1,144.8804222
ciliated cell,CCL15,144.8179499
ciliated cell,DRC7,144.3746999
ciliated cell,NELFE,144.2112341
ciliated cell,HN1L,143.5877854
ciliated cell,CCDC34,143.4533412
ciliated cell,APOBEC4,142.8184718
ciliated cell,RBM38,142.5966874
ciliated cell,HNRNPF,142.1488953
ciliated cell,PIP,141.9472396
ciliated cell,LRRC49,141.7953195
ciliated cell,TSPAN3,141.7434023
ciliated cell,TSPAN6,141.6645926
ciliated cell,CCNA1,140.8213715
ciliated cell,PPAP2C,140.2785315
ciliated cell,SYNE2,140.0929146
ciliated cell,HHLA2,139.8937257
ciliated cell,UNC93B1,139.7623325
ciliated cell,CBY1,139.7585015
ciliated cell,MRPL23,139.0504243
ciliated cell,KCNN3,138.6763472
ciliated cell,TEX9,138.4352762
ciliated cell,NRAV,138.0987201
ciliated cell,TRIP13,137.6654455
ciliated cell,C16orf46,137.600146
ciliated cell,PPP1R16A,137.5545966
ciliated cell,IL5RA,137.4139301
ciliated cell,DOC2A,136.1264755
ciliated cell,ICA1L,136.0091922
ciliated cell,DYX1C1,135.6297856
ciliated cell,ENAH,135.382865
ciliated cell,CCDC88C,135.2465529
ciliated cell,PLEKHB1,135.1384515
ciliated cell,ARMC2,135.0534088
ciliated cell,MAK,134.9667594
ciliated cell,C20orf195,133.5894233
ciliated cell,C19orf70,133.4169511
ciliated cell,NEK1,132.9215212
ciliated cell,PRUNE2,132.6569867
ciliated cell,TTC16,132.2449094
ciliated cell,CELF1,132.0434704
ciliated cell,CLIC1,131.895572
ciliated cell,ANKRD54,131.8590712
ciliated cell,FBXO36,131.3142947
ciliated cell,ZNHIT2,130.7529993
ciliated cell,CYB561,130.7145095
ciliated cell,MORF4L2,130.682012
ciliated cell,LRP11,130.5497196
ciliated cell,SERPINB6,130.0434555
ciliated cell,CACNG6,130.03117
ciliated cell,SMIM5,129.7883039
ciliated cell,JOSD2,129.0624682
ciliated cell,TJP3,128.8299445
ciliated cell,AKNA,128.7999551
ciliated cell,FBXW9,128.5871328
ciliated cell,NAT14,128.3465811
ciliated cell,PRSS12,128.3192719
ciliated cell,FAIM,128.1455557
ciliated cell,TTC21A,127.9807789
ciliated cell,SYNE1,127.8759591
ciliated cell,DNER,127.4122449
ciliated cell,PAPOLA,127.1562482
ciliated cell,ZMYND12,126.9394856
ciliated cell,LINC01571,126.8221839
ciliated cell,ARHGAP39,126.8034428
ciliated cell,C6orf52,126.4974521
ciliated cell,GAS2L2,126.4387164
ciliated cell,PPOX,126.4005515
ciliated cell,RHPN1,126.3997275
ciliated cell,ZNF688,126.3488178
ciliated cell,TMF1,126.0124049
ciliated cell,LRRC4,125.8467549
ciliated cell,RRAD,125.6124842
ciliated cell,DZANK1,125.5600511
ciliated cell,ZC2HC1A,125.3994949
ciliated cell,CFAP47,125.2634953
ciliated cell,KIF27,125.0126561
ciliated cell,CFDP1,124.9343069
ciliated cell,GOLGA2P7,124.8723459
ciliated cell,C6orf229,124.68206
ciliated cell,WRAP53,124.6159599
ciliated cell,ALOX15,124.5391735
ciliated cell,TP73,124.0729177
ciliated cell,CASC2,123.3822839
ciliated cell,C1orf141,123.2468191
ciliated cell,C5orf45,123.027681
ciliated cell,AGBL2,122.8147335
ciliated cell,PRKAR1A,122.7263787
ciliated cell,MPDZ,122.6650055
ciliated cell,LRRC45,122.6261186
ciliated cell,C1orf228,121.9117
ciliated cell,VPS35,121.2075259
ciliated cell,IFT140,120.9707063
ciliated cell,PCYT2,120.8976283
ciliated cell,PRR7,120.6448345
ciliated cell,CCDC148,120.5195047
ciliated cell,PHTF1,120.4228551
ciliated cell,APPL2,120.3975555
ciliated cell,C15orf26,120.0007203
ciliated cell,WDR90,119.8947914
ciliated cell,CHST6,119.6443538
ciliated cell,IFT74,119.4584604
ciliated cell,LCA5L,119.3122399
ciliated cell,SPATA6L,119.2150314
ciliated cell,UBB,118.79694
ciliated cell,RNF130,118.7630565
ciliated cell,PNMA1,118.3172032
ciliated cell,PPP1CB,118.1352046
ciliated cell,CERKL,118.1157706
ciliated cell,C16orf71,117.8044157
ciliated cell,SMKR1,117.5078616
ciliated cell,CAST,117.332802
ciliated cell,EFCAB12,117.286154
ciliated cell,PALMD,117.1434441
ciliated cell,IFI27,116.6805056
ciliated cell,RFX2,116.1808555
ciliated cell,CCDC81,116.0930491
ciliated cell,ALDH1A1,115.8849764
ciliated cell,ALS2CR12,115.7862461
ciliated cell,WDR19,115.517919
ciliated cell,GLB1L,115.5105927
ciliated cell,KIF3B,115.4959783
ciliated cell,GNA14,115.4353012
ciliated cell,YWHAE,114.952711
ciliated cell,SLC27A2,114.6560492
ciliated cell,ANKRD42,114.2980234
